"stn.Id","stn.Id.1","CIMIS.Region","Date","Jul","ETo","Precip","Sol.Rad","VPD","Air.Temp","Wind.Speed","Soil.Temp"
140,"Twitchell Island","San Francisco Bay",2001-01-01,1,0.39,0.3,5.0832,0.0328641404942092,2.975,1.61666666666667,8.7875
140,"Twitchell Island","San Francisco Bay",2001-01-02,2,0.6,0.3,6.444,0.0618908427589374,3.2125,1.3625,8.75833333333333
140,"Twitchell Island","San Francisco Bay",2001-01-03,3,1.23,0.3,10.026,0.199223626156376,5.27916666666667,1.25,8.7375
140,"Twitchell Island","San Francisco Bay",2001-01-04,4,0.99,0.3,8.7696,0.145448124227771,4.2125,1.1125,8.68333333333333
140,"Twitchell Island","San Francisco Bay",2001-01-05,5,1.26,0.2,10.0404,0.172838819857029,5.20833333333333,1.45416666666667,8.62916666666667
140,"Twitchell Island","San Francisco Bay",2001-01-06,6,1.13,0.2,9.3384,0.173235621476919,5.42916666666667,1.49583333333333,8.53333333333333
140,"Twitchell Island","San Francisco Bay",2001-01-07,7,0.35,0.6,3.978,0.10644021776669,5.33333333333333,1.43333333333333,8.55416666666667
140,"Twitchell Island","San Francisco Bay",2001-01-08,8,0.39,11.1,3.3552,0.116187850921457,9.10416666666667,2.44583333333333,9.1375
140,"Twitchell Island","San Francisco Bay",2001-01-09,9,0.54,0.1,4.5468,0.143063914696651,7.89583333333333,3.11666666666667,9.2375
140,"Twitchell Island","San Francisco Bay",2001-01-10,10,0.17,13.1,1.1232,0.102569358517113,8.125,6.52916666666667,9.25833333333333
140,"Twitchell Island","San Francisco Bay",2001-01-11,11,0.53,4.1,2.286,0.147509811854792,7.92916666666667,5.39583333333333,9.25833333333333
140,"Twitchell Island","San Francisco Bay",2001-01-12,12,1.49,0.6,10.5984,0.217528487372938,8.32916666666667,2.9,9.39166666666667
140,"Twitchell Island","San Francisco Bay",2001-01-13,13,1.63,0.4,10.8504,0.23621755493626,8.95,2.475,9.4
140,"Twitchell Island","San Francisco Bay",2001-01-14,14,1.72,0,11.3004,0.292041417383183,8.04166666666667,3.34583333333333,9.6125
140,"Twitchell Island","San Francisco Bay",2001-01-15,15,3.1,0,11.8116,0.518011427483525,7.7875,5.96666666666667,9.0125
140,"Twitchell Island","San Francisco Bay",2001-01-16,16,2.62,0,12.0348,0.462799880772926,6.17083333333333,5.10416666666667,8.47916666666667
140,"Twitchell Island","San Francisco Bay",2001-01-17,17,1.82,0,12.204,0.394623628265214,4.6875,2.275,8.00416666666667
140,"Twitchell Island","San Francisco Bay",2001-01-18,18,1.14,0,9.792,0.233550406062163,4.26666666666667,1.325,7.59583333333333
140,"Twitchell Island","San Francisco Bay",2001-01-19,19,1.47,0,10.1952,0.28398423767669,6.99166666666667,1.70416666666667,8.25416666666667
140,"Twitchell Island","San Francisco Bay",2001-01-20,20,0.83,0.1,7.3008,0.136349693574299,4.3875,1.85416666666667,8.09583333333333
140,"Twitchell Island","San Francisco Bay",2001-01-21,21,0.94,0.1,7.3548,0.195545232004128,5.86666666666667,1.43333333333333,7.94166666666667
140,"Twitchell Island","San Francisco Bay",2001-01-22,22,1.74,0,11.7936,0.344260741404246,8.2375,1.41666666666667,8.29166666666667
140,"Twitchell Island","San Francisco Bay",2001-01-23,23,0.22,9.1,2.3796,0.124857430895447,7.84583333333333,2.425,8.58333333333333
140,"Twitchell Island","San Francisco Bay",2001-01-24,24,1.61,0.6,9.5544,0.219988891481886,8.09166666666667,3.25416666666667,8.9125
140,"Twitchell Island","San Francisco Bay",2001-01-25,25,0.5,14.2,2.7792,0.114978816647594,5.96666666666667,4.03333333333333,8.59583333333333
140,"Twitchell Island","San Francisco Bay",2001-01-26,26,1.02,0.1,8.4888,0.110196814122954,5.7,2.99166666666667,8.49166666666667
140,"Twitchell Island","San Francisco Bay",2001-01-27,27,2.77,0,13.014,0.421013814585675,8.20833333333333,4.85416666666667,8.49583333333333
140,"Twitchell Island","San Francisco Bay",2001-01-28,28,1.38,0.1,11.1708,0.130589054702612,4.51666666666667,1.72916666666667,8.2375
140,"Twitchell Island","San Francisco Bay",2001-01-29,29,1.92,1,12.8988,0.240703244919997,8.10416666666667,2.78333333333333,8.55
140,"Twitchell Island","San Francisco Bay",2001-01-30,30,1.89,0,9.8496,0.356193665466902,6.6375,3.32916666666667,8.43333333333333
140,"Twitchell Island","San Francisco Bay",2001-01-31,31,1.86,0,13.6764,0.365623596121999,5.82083333333333,1.75416666666667,7.98333333333333
140,"Twitchell Island","San Francisco Bay",2001-02-01,32,1.42,0.1,11.79,0.21303693646844,6.13333333333333,1.38333333333333,7.86666666666667
140,"Twitchell Island","San Francisco Bay",2001-02-02,33,1.51,0,10.1556,0.342715410727584,8.07083333333333,1.5875,8.25416666666667
140,"Twitchell Island","San Francisco Bay",2001-02-03,34,2.23,0,13.2696,0.435376570390371,10.4625,1.78333333333333,8.62916666666667
140,"Twitchell Island","San Francisco Bay",2001-02-04,35,1.94,0,13.2912,0.327098133699394,10.7666666666667,1.29166666666667,9.1375
140,"Twitchell Island","San Francisco Bay",2001-02-05,36,1.97,0.2,13.7088,0.315004255465985,10.0458333333333,1.64583333333333,9.49166666666667
140,"Twitchell Island","San Francisco Bay",2001-02-06,37,3.05,0,13.9608,0.430379235838243,9.02083333333333,5.8,9.57083333333333
140,"Twitchell Island","San Francisco Bay",2001-02-07,38,4.28,0,14.7744,0.617467783059762,7.47083333333333,6.71666666666667,8.99583333333333
140,"Twitchell Island","San Francisco Bay",2001-02-08,39,3.11,0,13.194,0.670315779623021,8.4125,4.06666666666667,8.4625
140,"Twitchell Island","San Francisco Bay",2001-02-09,40,0.54,7.6,3.384,0.173548596708762,6.95416666666667,4.30833333333333,8.77083333333333
140,"Twitchell Island","San Francisco Bay",2001-02-10,41,1.31,5.6,8.8848,0.194563946899302,7.35416666666667,3.9625,8.74583333333333
140,"Twitchell Island","San Francisco Bay",2001-02-11,42,1.4,8.4,9.6012,0.194977888022129,6.89583333333333,4.11666666666667,8.875
140,"Twitchell Island","San Francisco Bay",2001-02-12,43,0.6,5.7,6.0444,0.0999591482260154,5.14583333333333,2.675,8.77083333333333
140,"Twitchell Island","San Francisco Bay",2001-02-13,44,2.96,0,10.3284,0.440345285464356,7.775,5.63333333333333,8.37083333333333
140,"Twitchell Island","San Francisco Bay",2001-02-14,45,1.97,0,15.0804,0.244380479873674,7.5375,1.59583333333333,8.53333333333333
140,"Twitchell Island","San Francisco Bay",2001-02-15,46,1.83,0.1,13.4784,0.212414823765338,7.6,1.4125,8.80416666666667
140,"Twitchell Island","San Francisco Bay",2001-02-16,47,2.25,0,14.8284,0.310026705909195,8.96666666666667,1.59583333333333,9.29166666666667
140,"Twitchell Island","San Francisco Bay",2001-02-17,48,0.18,1.9,2.7756,0.148885344711932,8.2625,1.71666666666667,9.39166666666667
140,"Twitchell Island","San Francisco Bay",2001-02-18,49,0.76,1.1,6.3828,0.120388698276704,9.80833333333333,1.84166666666667,9.75
140,"Twitchell Island","San Francisco Bay",2001-02-19,50,1.63,3.2,9.1836,0.22647344517397,10.1916666666667,4.34166666666667,10.0791666666667
140,"Twitchell Island","San Francisco Bay",2001-02-20,51,0.95,0.7,6.354,0.191538596193721,10.1208333333333,3.50833333333333,10.2458333333333
140,"Twitchell Island","San Francisco Bay",2001-02-21,52,0.87,4.9,6.4476,0.172348836640128,10.1791666666667,3.30833333333333,10.4708333333333
140,"Twitchell Island","San Francisco Bay",2001-02-22,53,2.35,10.7,13.0932,0.291911724716409,9.1625,4.0375,10.3083333333333
140,"Twitchell Island","San Francisco Bay",2001-02-23,54,1.91,3.2,13.3992,0.238037124182986,8.30833333333333,3.07083333333333,10.3
140,"Twitchell Island","San Francisco Bay",2001-02-24,55,0.55,12.6,3.5676,0.115395518280609,7.66666666666667,6.725,10.0541666666667
