Stn Id,Stn Name,CIMIS Region,Date,Jul,Sol Rad (W/sq.m),qc,Net Rad (W/sq.m),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Soil Temp (C),qc,Min Soil Temp (C),qc,Avg Soil Temp (C),qc
140,Twitchell Island,San Francisco Bay,7/13/2012,195,351, ,190, ,26.3, ,13.6, ,19.2, ,23.1, ,21.8, ,22.3,
140,Twitchell Island,San Francisco Bay,7/14/2012,196,343, ,189, ,27.5, ,12.2, ,19.3, ,22.4, ,21.1, ,21.8,
140,Twitchell Island,San Francisco Bay,7/15/2012,197,340, ,187, ,30.1, ,13.0, ,20.3, ,22.6, ,21.3, ,21.9,
140,Twitchell Island,San Francisco Bay,7/16/2012,198,334, ,186, ,22.4, ,13.0, ,16.8, ,23.4, ,21.3, ,22.4,
140,Twitchell Island,San Francisco Bay,7/17/2012,199,268, ,151, ,22.2, ,14.0, ,17.0, ,22.7, ,20.9, ,21.5,
140,Twitchell Island,San Francisco Bay,7/18/2012,200,334, ,185, ,25.9, ,13.4, ,18.6, ,22.7, ,20.6, ,21.5,
140,Twitchell Island,San Francisco Bay,7/19/2012,201,143,H,125,H,26.9, ,15.2, ,19.8,H,21.7, ,21.1, ,21.5,H
140,Twitchell Island,San Francisco Bay,7/20/2012,202,351, ,186, ,32.7, ,14.8, ,23.0, ,22.3, ,20.3, ,21.2,
140,Twitchell Island,San Francisco Bay,7/21/2012,203,351, ,184, ,36.1, ,17.2, ,26.3, ,23.3, ,21.4, ,22.2,
140,Twitchell Island,San Francisco Bay,7/22/2012,204,342, ,181, ,34.4, ,17.7, ,25.8, ,23.3, ,22.0, ,22.7,
140,Twitchell Island,San Francisco Bay,7/23/2012,205,337, ,184, ,28.4, ,15.3, ,20.7, ,23.1, ,21.9, ,22.5,
140,Twitchell Island,San Francisco Bay,7/24/2012,206,256, ,140, ,29.4, ,13.3, ,19.7, ,22.6, ,21.4, ,22.0,
140,Twitchell Island,San Francisco Bay,7/25/2012,207,277, ,153, ,28.2, ,13.5, ,19.3, ,22.3, ,21.2, ,21.8,
140,Twitchell Island,San Francisco Bay,7/26/2012,208,280, ,154, ,25.3, ,12.6, ,17.8, ,22.0, ,21.0, ,21.5,
140,Twitchell Island,San Francisco Bay,7/27/2012,209,319, ,176, ,28.5, ,13.0, ,19.3, ,21.9, ,20.6, ,21.2,
140,Twitchell Island,San Francisco Bay,7/28/2012,210,329, ,179, ,29.3, ,12.4, ,20.4, ,22.0, ,20.6, ,21.3,
140,Twitchell Island,San Francisco Bay,7/29/2012,211,329, ,177, ,30.9, ,13.2, ,21.5, ,22.3, ,20.7, ,21.5,
140,Twitchell Island,San Francisco Bay,7/30/2012,212,332, ,178, ,34.7, ,12.2, ,23.5, ,22.7, ,20.9, ,21.7,
140,Twitchell Island,San Francisco Bay,7/31/2012,213,328, ,176, ,34.4, ,13.4, ,24.2, ,23.0, ,21.4, ,22.2,
140,Twitchell Island,San Francisco Bay,8/1/2012,214,333, ,178, ,33.9, ,11.6, ,22.8, ,22.9, ,21.4, ,22.1,
140,Twitchell Island,San Francisco Bay,8/2/2012,215,329, ,176, ,34.5, ,11.7, ,23.0, ,22.9, ,21.3, ,22.1,
140,Twitchell Island,San Francisco Bay,8/3/2012,216,322, ,173, ,30.6, ,13.1, ,20.7, ,22.7, ,21.4, ,22.1,
140,Twitchell Island,San Francisco Bay,8/4/2012,217,177, ,92, ,23.9, ,13.0, ,17.0, ,22.3, ,21.1, ,21.5,
140,Twitchell Island,San Francisco Bay,8/5/2012,218,317, ,175, ,26.8, ,14.1, ,19.1, ,21.7, ,20.6, ,21.1,
140,Twitchell Island,San Francisco Bay,8/6/2012,219,326, ,172, ,32.0, ,13.3, ,21.3, ,21.9, ,20.5, ,21.2,
140,Twitchell Island,San Francisco Bay,8/7/2012,220,324, ,170, ,31.3, ,15.4, ,22.9, ,22.1, ,20.9, ,21.5,
140,Twitchell Island,San Francisco Bay,8/8/2012,221,328, ,169, ,35.4, ,15.3, ,24.5, ,22.4, ,20.9, ,21.6,
140,Twitchell Island,San Francisco Bay,8/9/2012,222,322, ,168, ,36.6, ,12.6, ,25.4, ,22.7, ,21.2, ,21.9,
140,Twitchell Island,San Francisco Bay,8/10/2012,223,322, ,167, ,37.0, ,15.0, ,26.1, ,23.0, ,21.6, ,22.3,
140,Twitchell Island,San Francisco Bay,8/11/2012,224,315, ,166, ,38.7, ,13.0, ,25.4, ,23.1, ,21.5, ,22.3,
140,Twitchell Island,San Francisco Bay,8/12/2012,225,304, ,162, ,34.3, ,15.1, ,24.5, ,22.9, ,21.8, ,22.4,
140,Twitchell Island,San Francisco Bay,8/13/2012,226,298, ,161, ,36.3, ,18.6, ,27.0, ,23.0, ,21.8, ,22.4,
140,Twitchell Island,San Francisco Bay,8/14/2012,227,258, ,140, ,31.3, ,19.0,Y,24.3, ,22.9, ,22.0, ,22.4,
140,Twitchell Island,San Francisco Bay,8/15/2012,228,302, ,163, ,30.6, ,15.4, ,21.2, ,22.4, ,21.5, ,22.0,
140,Twitchell Island,San Francisco Bay,8/16/2012,229,309, ,162, ,31.9, ,14.3, ,21.6, ,22.2, ,21.2, ,21.7,
140,Twitchell Island,San Francisco Bay,8/17/2012,230,306, ,161, ,30.7, ,14.7, ,22.2, ,22.0, ,21.1, ,21.6,
140,Twitchell Island,San Francisco Bay,8/18/2012,231,268, ,146, ,31.6, ,18.8,Y,24.0, ,22.0, ,21.2, ,21.6,
140,Twitchell Island,San Francisco Bay,8/19/2012,232,311, ,160, ,29.7, ,15.0, ,21.6, ,21.8, ,21.0, ,21.5,
140,Twitchell Island,San Francisco Bay,8/20/2012,233,305, ,158, ,31.7, ,13.7, ,21.9, ,21.9, ,20.8, ,21.4,
